event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,1,75.42,15.96,44.8,14.66,1,bF,0.98,7.2,6.9,2,10op,1.15,7.0,6.5
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,70.87,18.41,40.4,12.06,1,bG,0.92,7.7,6.3,2,7op,0.98,6.2,5.3
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 2,TOMITAKA Hinako,2532031,3,67.33,14.51,40.4,12.42,1,bG,0.92,6.8,7.0,2,7op,0.98,6.5,5.9
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,83.9,15.79,51.0,17.11,1,bdF,1.05,8.6,8.8,2,10op,1.05,7.6,7.6
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,2,81.14,16.47,48.3,16.37,1,bdF,1.05,7.8,7.7,2,10op,1.05,8.0,7.7
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,3,80.51,14.02,48.4,18.09,1,bdF,1.05,8.0,8.0,2,14op,1.22,7.9,8.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,1,81.13,16.06,49.0,16.07,1,7oG,1.11,8.2,8.0,2,bG,0.92,7.7,7.7
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,2,80.0,15.71,47.3,16.99,1,7oG,1.11,8.1,8.1,2,bG,0.92,8.5,8.9
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,76.95,14.13,46.8,16.02,1,7oG,1.11,7.7,6.8,2,7op,0.98,8.0,8.3
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,87.92,17.71,51.0,19.21,1,bdF,1.05,9.3,9.0,2,10op,1.05,9.2,9.1
