event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,80.84,17.8,47.2,15.84,1,7oG,1.11,8.0,7.8,2,bG,0.92,7.8,7.6
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,77.15,15.77,46.1,15.28,1,7oG,1.11,7.5,7.8,2,bp,0.81,8.5,8.3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,81.48,18.45,47.4,15.63,1,7oG,1.11,7.8,7.7,2,bG,0.92,7.5,7.8
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,71.87,15.92,40.9,15.05,1,7oG,1.11,8.1,7.8,2,bp,0.81,7.8,7.6
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,79.8,15.09,48.8,15.91,1,7oG,1.11,7.7,6.9,2,bG,0.92,8.8,8.2
FIS FREESTYLE SKI WORLD CUP 2024,2024-03-08,ALMATY (KAZ),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,81.13,17.2,48.9,15.03,1,7oG,1.11,7.9,7.3,2,bp,0.81,8.2,8.1
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,77.67,14.61,47.3,15.76,1,7oG,1.11,8.0,8.0,2,bp,0.81,8.4,8.6
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,2,77.39,15.44,45.3,16.65,1,7oG,1.11,8.4,9.0,2,bp,0.81,8.6,8.7
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,3,71.57,16.37,41.0,14.2,1,7oG,1.11,7.1,7.2,2,bp,0.81,7.6,7.9
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-08,RUKA (FIN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,3,71.68,15.62,43.4,12.66,1,7oG,1.11,6.6,6.6,2,bp,0.81,6.5,6.7
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-09,VAL ST. COME (CAN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,79.83,14.98,48.9,15.95,1,7oG,1.11,7.8,7.9,2,bp,0.81,9.0,8.9
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,80.04,16.79,48.8,14.45,1,7oG,1.11,7.2,7.4,2,bp,0.81,7.9,7.8
FIS FREESTYLE SKI WORLD CUP 2026,2026-02-28,NANTO-TOYAMA (JPN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,2,74.29,15.82,43.1,15.37,1,7oG,1.11,8.0,7.3,2,bp,0.81,8.7,8.3
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Women's Moguls,Results Qualification 1,ANTHONY Jakara,2530720,AUS,6,73.47,15.6,43.8,14.07,1,7oG,1.11,6.9,6.5,2,bp,0.81,8.1,8.3
2024 FIS FREESTYLE NORAM CUP MOGULS,2024-02-24,VAL S TCOME (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 1,BOSCO Emma,2532927,AUS,6,63.17,11.15,41.4,10.62,1,bG,0.92,5.6,5.0,2,bL,0.81,6.9,7.3
2025 FIS FREESTYLE SKI NORAM CUP,2025-02-12,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 1,BOSCO Emma,2532927,AUS,12,59.63,8.03,40.8,10.8,1,bG,0.92,5.7,6.0,2,bL,0.81,6.9,6.5
2025 FIS FREESTYLE NORAM CUP,2025-03-01,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 1,BOSCO Emma,2532927,AUS,15,40.23,10.18,21.1,8.95,1,bG,0.92,4.3,5.0,2,bT,0.78,6.0,6.0
