event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score,podium_rank
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,1,82.44,17.1,50.3,15.04,1,bF,0.88,8.0,8.2,2,7op,0.88,9.0,9.0,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,WALLBERG Walter,2532001,3,80.96,17.95,48.1,14.91,1,bF,0.88,7.6,7.7,2,10op,1.05,7.8,7.8,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,2,81.69,18.48,48.1,15.11,1,bF,0.88,8.1,8.0,2,10op,1.05,7.7,7.6,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Qualification,WALLBERG Walter,2532001,3,79.59,17.49,47.2,14.9,1,bF,0.88,8.6,8.8,2,7op,0.88,8.2,8.3,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,2,83.22,17.61,47.5,18.11,1,7oG,1.01,9.3,9.0,2,10op,1.05,8.5,8.4,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,3,81.36,18.23,46.6,16.53,1,7oG,1.01,9.2,8.8,2,10op,1.05,6.7,7.5,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,6,78.75,17.25,48.4,13.1,1,bF,0.88,8.8,8.7,2,7op,0.88,6.1,6.2,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,KAWAMURA Anri,2534852,2,82.47,19.75,47.3,15.42,1,bp,0.81,9.0,8.9,2,7op,0.98,8.5,8.2,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,KAWAMURA Anri,2534852,1,82.25,20.0,47.2,15.05,1,bp,0.81,8.0,8.0,2,7op,0.98,8.7,8.8,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,KAWAMURA Anri,2534852,3,80.99,19.31,46.5,15.18,1,bp,0.81,8.5,8.8,2,7op,0.98,8.4,8.3,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,83.23,18.33,47.5,17.4,1,7oG,1.11,8.3,8.4,2,bG,0.92,8.9,8.8,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,2,81.88,18.25,46.7,16.93,1,7oG,1.11,8.1,8.0,2,bG,0.92,8.6,8.8,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,1,83.68,17.55,48.8,17.33,1,7oG,1.11,8.2,8.2,2,bG,0.92,9.0,8.9,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,4,78.39,20.0,44.7,13.69,1,bG,0.92,8.2,8.3,2,bp,0.81,7.6,7.5,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,3,78.34,20.0,44.7,13.64,1,bG,0.92,8.0,8.2,2,bp,0.81,7.8,7.5,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,KAUF Jaelin,2529064,8,72.91,18.2,42.7,12.01,1,bG,0.92,7.0,7.6,2,bp,0.81,6.7,6.4,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,1,81.27,17.96,49.1,14.21,1,10op,1.05,7.1,7.5,2,7op,0.88,7.6,7.3,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,1,85.35,18.48,51.8,15.07,1,10op,1.05,7.7,7.6,2,7op,0.88,8.0,8.0,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Qualification,GRAHAM Matt,2441426,3,76.93,17.12,46.4,13.41,1,bF,0.88,8.0,7.7,2,7op,0.88,7.5,7.3,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,2,80.5,16.57,48.9,15.03,1,10op,1.05,7.1,7.3,2,7op,0.88,8.5,8.5,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,83.65,16.95,50.1,16.6,1,10op,1.05,9.0,7.8,2,7op,0.88,8.9,8.8,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,2,79.75,16.4,49.8,13.55,1,bF,0.88,8.0,7.8,2,7op,0.88,7.5,7.5,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 1,CAVET Benjamin,2530514,3,78.31,16.7,47.2,14.41,1,bF,0.88,7.8,7.9,2,10op,1.05,7.1,7.2,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 2,CAVET Benjamin,2530514,3,81.82,17.25,48.6,15.97,1,bF,0.88,8.1,8.3,2,10op,1.05,8.2,8.5,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Qualification,CAVET Benjamin,2530514,1,81.64,17.45,51.4,12.79,1,bF,0.88,8.0,8.0,2,bp,0.71,8.1,8.1,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,2,80.29,17.53,46.6,16.16,1,7oG,1.11,7.9,7.9,2,bG,0.92,8.1,8.0,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,80.15,18.12,46.4,15.63,1,7oG,1.11,7.6,7.4,2,bG,0.92,8.0,7.9,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,1,79.13,16.69,47.0,15.44,1,7oG,1.11,7.6,7.4,2,bG,0.92,8.4,7.1,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,3,78.46,19.57,46.3,12.59,1,bG,0.92,6.6,6.7,2,bp,0.81,8.1,7.9,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,77.35,19.96,43.7,13.69,1,bG,0.92,7.8,7.9,2,bp,0.81,8.0,8.0,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Qualification,KAUF Jaelin,2529064,4,74.98,18.52,42.3,14.16,1,bG,0.92,8.0,8.7,2,bp,0.81,8.0,8.0,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,4,77.44,17.38,47.5,12.56,1,bp,0.81,8.0,7.8,2,7op,0.98,6.3,6.3,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,3,77.17,17.81,46.0,13.36,1,bp,0.81,7.8,7.8,2,7op,0.98,7.2,7.2,3
