event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,LEMLEY Elizabeth,2537762,USA,9,74.84,18.01,42.8,14.03,1,7oG,1.11,6.5,6.7,2,7op,0.98,6.9,6.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,GIACCIO Olivia,2532241,USA,11,74.53,16.9,44.9,12.73,1,bF,0.98,6.2,6.3,2,7op,0.98,6.9,6.6
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,IHARA Haruka,2531368,JPN,15,70.2,15.93,43.1,11.17,1,bG,0.92,6.5,6.7,2,bp,0.81,6.5,6.1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,YANAGIMOTO Rino,2532040,JPN,6,66.38,17.82,35.9,12.66,1,7oG,1.11,6.1,6.3,2,7op,0.98,5.9,5.9
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,VIERELA Severi,2533386,FIN,7,78.42,17.1,45.0,16.32,1,bF,0.88,9.0,8.9,2,10op,1.05,8.1,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,81.75,17.78,48.3,15.67,1,7oG,1.11,7.3,7.1,2,bG,0.92,8.5,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,USA,4,74.99,17.66,44.6,12.73,1,bF,0.98,6.7,6.6,2,7op,0.98,6.5,6.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,FJALLSTROM Ludvig,2528117,SWE,10,70.15,14.78,42.9,12.47,1,7op,0.88,7.4,7.8,2,bp,0.71,8.0,8.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,CARROLL Avital,2529074,AUT,8,71.88,14.93,43.9,13.05,1,bG,0.92,7.0,5.7,2,7oG,1.11,6.5,6.5
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,SOAR Hannah,2531373,USA,10,71.58,16.47,44.8,10.31,1,bp,0.81,7.1,7.0,2,7op,0.98,4.4,5.0
