event,event_date,venue,discipline,athlete,fis_code,podium_rank,metric,Qualification,Final 1,Deciding Final
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_2_judge_6_score,,8.1,7.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_2_judge_7_score,,8.5,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,run_score,,78.45,78.98
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,air_total,,14.75,15.78
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,turns_total,,45.0,44.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,time_points,,18.7,18.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,jump_1_degree_diff,,0.88,0.88
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,jump_2_degree_diff,,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,jump_1_judge_6_score,,8.1,8.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,jump_1_judge_7_score,,7.8,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,jump_2_judge_6_score,,7.3,8.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,WALLBERG Walter,2532001,3,jump_2_judge_7_score,,7.5,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,run_score,,81.6,81.75
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,air_total,,16.56,15.67
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,turns_total,,47.7,48.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,time_points,,17.34,17.78
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,jump_1_degree_diff,,1.11,1.11
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,jump_2_degree_diff,,0.92,0.92
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,jump_1_judge_6_score,,7.8,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,jump_1_judge_7_score,,8.3,7.1
