event.discipline,athlete.fis_code,athlete.name,athlete.nsa_code,final_appearances,wins,podiums
Men's Moguls,2537625,LEE Yoon Seung,KOR,0,0,0
Women's Moguls,2539946,LEEDS Kate,CAN,0,0,0
Men's Moguls,2538858,LEFEBVRE Emeric,CAN,0,0,0
Women's Moguls,2538300,LEMNAH Reese,USA,0,0,0
Men's Moguls,2539248,LEWIS Camden,USA,0,0,0
Women's Moguls,2535574,LEWIS Taylor,USA,0,0,0
Men's Moguls,2537254,LI Musai,CHN,0,0,0
Women's Moguls,2537198,LI Ruilin,CHN,0,0,0
Men's Moguls,2538054,LITTLEFIELD Chase,USA,0,0,0
Men's Moguls,2535793,LIVISSIANOS Mac,AUS,0,0,0
Women's Moguls,2538154,LODGE Lottie,AUS,1,0,0
Women's Moguls,2539353,LOEWEN Aria,CAN,0,0,0
Men's Moguls,2534330,LOGAN Oliver,AUS,1,0,0
Men's Moguls,2540052,LONG Hao,CHN,0,0,0
Men's Moguls,2538236,LUCA Alexander,CAN,0,0,0
Men's Moguls,2534751,LUCAS Nash,USA,0,0,0
Women's Moguls,2534864,LUNDHOLM Elis,SWE,0,0,0
Women's Moguls,2533012,MA Zhuoni,CHN,0,0,0
Women's Moguls,2534186,MACUGA Alli,USA,3,0,0
Men's Moguls,2534293,MAGA Joshua,CAN,0,0,0
Women's Moguls,2535457,MALHERBE Malica,RSA,0,0,0
Women's Moguls,2539591,MANGANELLO,USA,0,0,0
Women's Moguls,2539756,MANNS Talia,AUS,0,0,0
Men's Moguls,2533394,MARLEY Garrett,USA,0,0,0
Men's Moguls,2537718,MASON Shawn,CAN,0,0,0
Women's Moguls,2539352,MATSUDA Lia,CAN,0,0,0
Men's Moguls,2531671,MATSUDA So,JPN,0,0,0
Women's Moguls,2538814,MAURAIS Olivia,USA,1,0,0
Women's Moguls,2535327,MERZ Annika,GER,0,0,0
Men's Moguls,2533504,MERZ Linus,GER,0,0,0
