event.event,event.event_date,event.venue,event.discipline,event.level,athlete.fis_code,athlete.name,athlete.rank,win,podium
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2534186,MACUGA Alli,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2537762,LEMLEY Elizabeth,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2531373,SOAR Hannah,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2532811,HOLMGREN Albin,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Men's Moguls,Results Final 2,2532161,WOODS Cooper,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Women's Moguls,Results Final 2,2531373,SOAR Hannah,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Men's Moguls,Results Final 2,2534511,McDONALD Cole,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Women's Moguls,Results Final 2,2534251,HOGG Kasey,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2533462,PAGE Nick,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2537762,LEMLEY Elizabeth,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,26 JAN 2024,WATERVILLE (USA),Men's Moguls,Results Final 2,2534234,CHALIFOUX Louis-,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,8 DEC 2023,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Men's Moguls,Results Final 2,2532044,MOUILLE Thibaud,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2531923,STEGFELDT Rasmus,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Men's Moguls,Results Final 2,2534511,McDONALD Cole,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Men's Moguls,Results Final 2,2533386,VIERELA Severi,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Men's Moguls,Results Final 2,2531923,STEGFELDT Rasmus,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,5,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,5,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2535796,WILSON Charlotte,7,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
